"country","broadband","mobile"
"Monaco","261.8200",""
"Singapore","255.8300","105.0100"
"Hong Kong","254.7000","83.5800"
"Romania","232.1700","59.6700"
"Switzerland","229.9600","135.7000"
"Denmark","227.9100","112.0300"
"Thailand","225.1700","56.9000"
"Chile","217.6000","21.2300"
"France","214.0400","86.5100"
"South Korea","212.5700","202.6100"
"Hungary","210.5500","60.1600"
"Liechtenstein","204.7800",""
"United States","203.8100","110.0700"
"Spain","201.4700","61.6200"
"China","196.5700","165.3800"
"United Arab Emirates","189.0700","238.0600"
"Canada","183.8100","95.7800"
"Macau","178.9000","62.3100"
"Japan","178.7600","69.0200"
"Sweden","174.9000","103.0800"
"Luxembourg","172.0500","116.7600"
"Andorra","171.4400",""
"New Zealand","170.5100","75.9100"
"Norway","168.2500","177.7200"
"Netherlands","165","106.9800"
"Israel","162.6600","48.3000"
"Portugal","162.5500","59.9100"
"Poland","156.3300","57.2300"
"Moldova","154.5600","42.9900"
"Taiwan","152.0100","95.5100"
"Kuwait","149.3700","157.1800"
"Lithuania","147.0500","66.2500"
"Malta","144.0600","70.7300"
"Panama","137.3800","20.4400"
"Germany","136.6600","83.0600"
"Latvia","135.2200","50.0700"
"Finland","135.0500","88.2300"
"Belgium","125.1200","69.7600"
"Ireland","122.5500","62.6600"
"San Marino","121.4000",""
"Slovenia","115.6100","74.8400"
"Slovakia","115.1100","56.0100"
"Qatar","113.8800","172.1800"
"Brazil","113.0900","33.9200"
"Barbados","109.4100",""
"Malaysia","107.5500","31.3400"
"Italy","104.0900","55.4100"
"United Kingdom","102.2400","86.5600"
"Russia","95.9600","28.9900"
"Saudi Arabia","94.6400","155.9700"
"Austria","94.3100","71.8100"
"Estonia","88.4900","75.2900"
"Serbia","86.7700","53.8200"
"Bulgaria","86.7500","142.2700"
"Trinidad and Tobago","85.8000","41.1200"
"Jordan","84.1200","27.6100"
"Australia","82.7300","135.3000"
"Vietnam","78.3400","43.3200"
"Ukraine","76.8200","31.9500"
"Bahrain","73.9500","86.0400"
"Paraguay","72.5000","20.6500"
"Colombia","72.1900","18.3300"
"Philippines","71.8500","35.0300"
"Uruguay","69.9100","38.0800"
"Belarus","69.4100","19.4100"
"Croatia","69.0900","114.7600"
"Oman","68.2800","91.2100"
"Guyana","65.9300",""
"India","64.0300","17.8900"
"Kazakhstan","63.2800","31.7400"
"Bahamas","61.7500",""
"Montenegro","60.0300","44.4800"
"Argentina","58.8700","29.7700"
"Peru","58.7300","24.8200"
"Grenada","57.0700",""
"Costa Rica","56.3900","34.0100"
"Cyprus","55.1100","144.6400"
"Mexico","54.8800","34.3300"
