,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
0,6300,toyota,cruiser,2008,clean vehicle,274117.0,black,  jtezu11f88k007763,159348797,new jersey, usa,10 days left
1,2899,ford,se,2011,clean vehicle,190552.0,silver,  2fmdk3gc4bbb02217,166951262,tennessee, usa,6 days left
2,5350,dodge,mpv,2018,clean vehicle,39590.0,silver,  3c4pdcgg5jt346413,167655728,georgia, usa,2 days left
3,25000,ford,door,2014,clean vehicle,64146.0,blue,  1ftfw1et4efc23745,167753855,virginia, usa,22 hours left
4,27700,chevrolet,1500,2018,clean vehicle,6654.0,red,  3gcpcrec2jg473991,167763266,florida, usa,22 hours left
5,5700,dodge,mpv,2018,clean vehicle,45561.0,white,  2c4rdgeg9jr237989,167655771,texas, usa,2 days left
6,7300,chevrolet,pk,2010,clean vehicle,149050.0,black,  1gcsksea1az121133,167753872,georgia, usa,22 hours left
7,13350,gmc,door,2017,clean vehicle,23525.0,gray,  1gks2gkc3hr326762,167692494,california, usa,20 hours left
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,  1g1zd5st5jf191860,167763267,florida, usa,22 hours left
9,5250,ford,mpv,2017,clean vehicle,63418.0,black,  2fmpk3j92hbc12542,167656121,texas, usa,2 days left
10,10400,dodge,coupe,2009,clean vehicle,107856.0,orange,  2b3lj54t49h509675,167753874,georgia, usa,22 hours left
11,12920,gmc,mpv,2017,clean vehicle,39650.0,white,  1gks2bkc6hr136280,167692496,california, usa,20 hours left
12,31900,chevrolet,1500,2018,clean vehicle,22909.0,black,  3gcukrec0jg176059,167763273,tennessee, usa,22 hours left
13,5430,chrysler,wagon,2017,clean vehicle,138650.0,gray,  2c4rc1cg5hr616095,167656123,texas, usa,2 days left
14,20700,ford,door,2013,clean vehicle,100757.0,black,  1ftfw1et7dfa47790,167753916,virginia, usa,22 hours left
15,12710,gmc,door,2017,clean vehicle,25747.0,white,  1gks2gkc6hr328389,167692497,california, usa,20 hours left
16,5200,kia,forte,2018,clean vehicle,46194.0,blue,  3kpfk4a77je198723,167801757,north carolina, usa,2 days left
17,16500,buick,encore,2018,clean vehicle,20002.0,red,  kl4cj1sb6jb688844,167763275,tennessee, usa,22 hours left
18,5210,ford,mpv,2017,clean vehicle,35714.0,white,  2fmpk3j95hbb73607,167656124,texas, usa,2 days left
19,38100,ford,door,2013,clean vehicle,54380.0,gray,  1ft8w3dt5deb68569,167753923,virginia, usa,22 hours left
20,12520,gmc,door,2017,clean vehicle,30114.0,white,  1gks2gkcxhr328380,167692498,california, usa,20 hours left
21,7300,kia,forte,2018,clean vehicle,38823.0,black,  3kpfl4a79je272611,167801773,north carolina, usa,2 days left
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,  2gnflhe33f6214023,167763280,ohio, usa,2 days left
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,  2fmpk3j84hbc09276,167656125,texas, usa,2 days left
24,20800,ford,door,2013,clean vehicle,105510.0,silver,  1ftfw1efxdfa01008,167753937,virginia, usa,22 hours left
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,  1gks2gkc2hr327918,167692503,california, usa,20 hours left
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,  5xypg4a59lg616029,167801828,north carolina, usa,2 days left
27,12000,buick,door,2014,clean vehicle,31039.0,brown,  1g4ps5sk1e4188639,167763299,ohio, usa,2 days left
28,4190,ford,doors,2017,clean vehicle,44174.0,white,  1fadp5auxhl109013,167656126,texas, usa,2 days left
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,  1fdwf37r28eb95687,167754098,tennessee, usa,22 hours left
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,  1gks2gkc6hr326335,167692504,california, usa,20 hours left
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,  jn1by1ar7gm271292,167801920,new york, usa,19 hours left
32,29800,chevrolet,camaro,1973,clean vehicle,46226.0,red,  1q87t3n166389,167763370,pennsylvania, usa,22 hours left
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,  2fmpk3j9xhbb56401,167656127,texas, usa,2 days left
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,  1fahp60a63y107799,167754173,virginia, usa,22 hours left
35,11900,gmc,door,2017,clean vehicle,27965.0,black,  1gks2gkc2hr328793,167692507,california, usa,20 hours left
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,  8btpe7dd4ge127040,167802259,new york, usa,19 hours left
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,  1gcncneh5jz302471,167763391,tennessee, usa,22 hours left
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,  2fmpk4k96hbb16692,167656128,texas, usa,2 days left
39,7000,ford,pk,2003,clean vehicle,176567.0,white,  1ftnx20p73ed69682,167754187,tennessee, usa,22 hours left
40,12710,gmc,door,2017,clean vehicle,30049.0,white,  1gks2gkc6hr325461,167692508,california, usa,20 hours left
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,  wd4pe7dd1gp253504,167802269,new york, usa,19 hours left
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,  3gcukrec4jg204915,167763393,tennessee, usa,22 hours left
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,  2fmpk3j85hbb79415,167656129,texas, usa,2 days left
44,55000,ford,srw,2017,clean vehicle,15273.0,black,  1ft7w3bt5hee88155,167754310,pennsylvania, usa,3 days left
45,12520,gmc,door,2017,clean vehicle,28972.0,black,  1gks2gkcxhr324555,167692509,california, usa,20 hours left
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,  3c4njccb3kt676336,167802530,north carolina, usa,2 days left
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,  1g1zh5sx9hf118136,167763675,tennessee, usa,22 hours left
